,sid,id,position,created_at,created_meta,updated_at,updated_meta,meta,JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL
122,124,8197C9D6-6E80-4F3D-80FB-9990405FD79A,124,1311750357,392904,1311750357,392904,"{
}",11221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,125,7AA16036-C632-4245-AAC7-47B4B7DC5420,125,1311750357,392904,1311750357,392904,"{
}",11222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,126,C17A06CB-BA84-4B3A-93CD-26A25D98DCA5,126,1311750357,392904,1311750357,392904,"{
}",11223,109,53,0.49,56,0.51,0,0,109,100,0,0,1,0.01,0,0,7,0.06,95,0.87,1,0.01,5,0.05,0,0,109,100,6,0.06,102,0.94,1,0.01,0,0,109,100,20,0.18,89,0.82,0,0,109,100
125,127,352F8AD2-3D13-4286-867C-9E934D8B71AE,127,1311750357,392904,1311750357,392904,"{
}",11224,93,53,0.57,40,0.43,0,0,93,100,0,0,14,0.15,0,0,7,0.08,4,0.04,60,0.65,8,0.09,0,0,93,100,6,0.06,86,0.92,1,0.01,0,0,93,99,28,0.3,65,0.7,0,0,93,100
126,128,89B23548-BC4C-4CD9-BA51-7EC142D11830,128,1311750357,392904,1311750357,392904,"{
}",11225,52,52,1,0,0,0,0,52,100,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,52,100,0,0,52,1,0,0,0,0,52,100,22,0.42,30,0.58,0,0,52,100
127,129,9C04EB76-5113-4268-96E8-3A3DEDF1572F,129,1311750357,392904,1311750357,392904,"{
}",11226,10,7,0.7,3,0.3,0,0,10,100,0,0,6,0.6,0,0,0,0,0,0,4,0.4,0,0,0,0,10,100,0,0,10,1,0,0,0,0,10,100,4,0.4,6,0.6,0,0,10,100
128,130,2609E581-B143-44B1-A1B1-AA06B6E486A2,130,1311750357,392904,1311750357,392904,"{
}",11228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,131,33426E87-351F-4D9F-B5C3-5733B3F5E453,131,1311750357,392904,1311750357,392904,"{
}",11229,52,32,0.62,20,0.38,0,0,52,100,0,0,2,0.04,0,0,5,0.1,39,0.75,2,0.04,3,0.06,1,0.02,52,100,3,0.06,49,0.94,0,0,0,0,52,100,5,0.1,47,0.9,0,0,52,100
130,132,C4C8D9CD-1F51-4949-AAE8-0BD9E4684414,132,1311750357,392904,1311750357,392904,"{
}",11230,248,194,0.78,54,0.22,0,0,248,100,0,0,1,0,0,0,7,0.03,216,0.87,2,0.01,17,0.07,5,0.02,248,100,3,0.01,245,0.99,0,0,0,0,248,100,42,0.17,206,0.83,0,0,248,100
131,133,B0E41338-5DDD-4356-8C6D-490FB137C423,133,1311750357,392904,1311750357,392904,"{
}",11231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,134,90774D40-1A41-4E19-AA0A-ABDE92A0886C,134,1311750357,392904,1311750357,392904,"{
}",11232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,135,1BA7FFC5-F06B-437A-8FFE-90F7B8A95F0D,135,1311750357,392904,1311750357,392904,"{
}",11233,14,6,0.43,8,0.57,0,0,14,100,0,0,0,0,0,0,0,0,4,0.29,9,0.64,1,0.07,0,0,14,100,0,0,14,1,0,0,0,0,14,100,5,0.36,9,0.64,0,0,14,100
134,136,36844D25-C523-43F0-B934-D916F7D25E94,136,1311750357,392904,1311750357,392904,"{
}",11234,59,29,0.49,30,0.51,0,0,59,100,0,0,8,0.14,0,0,0,0,37,0.63,10,0.17,4,0.07,0,0,59,100,1,0.02,58,0.98,0,0,0,0,59,100,2,0.03,57,0.97,0,0,59,100
135,137,243B66CA-0A08-4BB7-B1B6-B7687A02DC3B,137,1311750357,392904,1311750357,392904,"{
}",11235,50,17,0.34,33,0.66,0,0,50,100,0,0,7,0.14,0,0,4,0.08,36,0.72,2,0.04,1,0.02,0,0,50,100,1,0.02,48,0.96,1,0.02,0,0,50,100,4,0.08,46,0.92,0,0,50,100
136,138,2AD2D96D-88EB-45F5-BCCA-ACC87A148DB8,138,1311750357,392904,1311750357,392904,"{
}",11236,7,3,0.43,4,0.57,0,0,7,100,0,0,0,0,0,0,0,0,1,0.14,5,0.71,0,0,1,0.14,7,99,2,0.29,5,0.71,0,0,0,0,7,100,0,0,7,1,0,0,7,100
137,139,FAD22CBB-7143-42CC-BC02-20076C948FF2,139,1311750357,392904,1311750357,392904,"{
}",11237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,140,D22405F4-7112-442A-B354-6B0DCC55C238,140,1311750357,392904,1311750357,392904,"{
}",11238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,141,C9ADECE0-8A71-4A1C-8269-78230AEF477F,141,1311750357,392904,1311750357,392904,"{
}",11239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,142,2C50F2EB-73FD-4775-AE04-848ED02C9004,142,1311750357,392904,1311750357,392904,"{
}",11252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,143,50DC5008-6354-4362-ACDC-D385C7DF4B21,143,1311750357,392904,1311750357,392904,"{
}",11354,2,1,0.5,1,0.5,0,0,2,100,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,2,100,2,1,0,0,0,0,0,0,2,100,0,0,2,1,0,0,2,100
142,144,4C910B60-C501-44F5-831F-6EE5AC5F8684,144,1311750357,392904,1311750357,392904,"{
}",11355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,145,32ACDF45-4FCE-4B0B-AC24-BCEA49A6E7A4,145,1311750357,392904,1311750357,392904,"{
}",11356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,146,88DC8F3A-9008-4E7C-B0F0-3697129CD235,146,1311750357,392904,1311750357,392904,"{
}",11357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,147,6778626A-586F-4AB3-8F05-D0647FF791FE,147,1311750357,392904,1311750357,392904,"{
}",11358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,148,CE6CC022-CDB6-4642-B1B8-DCBD6CE9BC22,148,1311750357,392904,1311750357,392904,"{
}",11360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,149,B6B8F9D1-5D8B-49B5-B56F-912A3BE60C7B,149,1311750357,392904,1311750357,392904,"{
}",11361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,150,D49C8002-BC27-4959-B2C6-67C4B5FC9A7E,150,1311750357,392904,1311750357,392904,"{
}",11362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,151,A0E805AD-89D9-4036-9444-FC2722125E7C,151,1311750357,392904,1311750357,392904,"{
}",11364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,152,19CC96BB-A522-4888-9ACE-335E82284F3B,152,1311750357,392904,1311750357,392904,"{
}",11365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,153,A3CDBF77-9C7E-45EA-9BB2-C896E2CE744A,153,1311750357,392904,1311750357,392904,"{
}",11366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,154,C438F56F-A114-437C-9D8A-ED9159A80D2C,154,1311750357,392904,1311750357,392904,"{
}",11367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,155,5B10A499-6713-45E7-82DA-08789C8AFDEC,155,1311750357,392904,1311750357,392904,"{
}",11368,5,4,0.8,1,0.2,0,0,5,100,0,0,3,0.6,0,0,1,0.2,1,0.2,0,0,0,0,0,0,5,100,1,0.2,4,0.8,0,0,0,0,5,100,0,0,5,1,0,0,5,100
154,156,901AFF41-A9B7-459E-A2D7-10859EF7D525,156,1311750357,392904,1311750357,392904,"{
}",11369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,157,82AFCF92-C48D-4D14-950D-F991A430D0D1,157,1311750357,392904,1311750357,392904,"{
}",11370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,158,6FA9F0B8-A177-41E8-8D59-C17615B02833,158,1311750357,392904,1311750357,392904,"{
}",11371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,159,FC6061D2-1BFA-49C6-9B36-495268A0D5B7,159,1311750357,392904,1311750357,392904,"{
}",11372,2,1,0.5,1,0.5,0,0,2,100,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,2,1,0,0,0,0,2,100,1,0.5,1,0.5,0,0,2,100
158,160,0ECC3D36-0D50-43E4-A7DE-77F0B6E06CFC,160,1311750357,392904,1311750357,392904,"{
}",11373,3,3,1,0,0,0,0,3,100,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,100,0,0,3,1,0,0,0,0,3,100,1,0.33,2,0.67,0,0,3,100
159,161,56F6D7AA-3021-4478-864E-CBB573669A0A,161,1311750357,392904,1311750357,392904,"{
}",11374,2,0,0,2,1,0,0,2,100,0,0,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0,0,2,100,0,0,2,1,0,0,0,0,2,100,0,0,2,1,0,0,2,100
160,162,10D0E300-7D74-43A8-8DEF-4E6CC6DD35D5,162,1311750357,392904,1311750357,392904,"{
}",11375,5,2,0.4,3,0.6,0,0,5,100,0,0,2,0.4,0,0,0,0,0,0,3,0.6,0,0,0,0,5,100,0,0,5,1,0,0,0,0,5,100,1,0.2,4,0.8,0,0,5,100
161,163,63B15163-A5D8-4822-AF9E-9193539755FB,163,1311750357,392904,1311750357,392904,"{
}",11377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,164,20F0A21B-1DE3-44F3-A2CF-F3B12F4EC71B,164,1311750357,392904,1311750357,392904,"{
}",11378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,165,66D4EFA1-484A-4693-8A36-051E1E012747,165,1311750357,392904,1311750357,392904,"{
}",11379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,166,29BB3182-D032-4DCC-BE96-5971A1B9A007,166,1311750357,392904,1311750357,392904,"{
}",11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,167,C04D6B2E-D75E-4E3D-85D8-4433B042E588,167,1311750357,392904,1311750357,392904,"{
}",11411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,168,2EC4A063-EFBC-41FC-B40D-F6C3167B72B0,168,1311750357,392904,1311750357,392904,"{
}",11412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,169,49587838-D0E8-4D9D-A658-E8AF4CD9783E,169,1311750357,392904,1311750357,392904,"{
}",11413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,170,33BB6E16-3CE3-4919-A277-5D4CB57CF858,170,1311750357,392904,1311750357,392904,"{
}",11414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,171,4928CFE4-8DCB-4649-92BF-3D8B78114532,171,1311750357,392904,1311750357,392904,"{
}",11415,11,6,0.55,5,0.45,0,0,11,100,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,11,100,1,0.09,10,0.91,0,0,0,0,11,100,5,0.45,6,0.55,0,0,11,100
170,172,0EEEC9E7-1358-4485-8988-C7D0846C4003,172,1311750357,392904,1311750357,392904,"{
}",11416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,173,DE20E707-BC20-4869-83C6-4AE2780CB871,173,1311750357,392904,1311750357,392904,"{
}",11417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,174,E0ECC413-EDCB-428C-83F0-79914892EB5D,174,1311750357,392904,1311750357,392904,"{
}",11418,4,2,0.5,2,0.5,0,0,4,100,0,0,1,0.25,0,0,0,0,0,0,1,0.25,1,0.25,1,0.25,4,100,0,0,4,1,0,0,0,0,4,100,1,0.25,3,0.75,0,0,4,100
173,175,3B3F5A0B-3303-404A-813D-E0C509FBD476,175,1311750357,392904,1311750357,392904,"{
}",11419,1,0,0,1,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,100,0,0,1,1,0,0,0,0,1,100,0,0,1,1,0,0,1,100
174,176,55D37C90-7AA5-41FF-8182-D9E1E28B1A0A,176,1311750357,392904,1311750357,392904,"{
}",11420,2,1,0.5,1,0.5,0,0,2,100,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,2,100,0,0,2,1,0,0,0,0,2,100,2,1,0,0,0,0,2,100
175,177,3F4DB756-B609-433D-9B0F-3FE898C04052,177,1311750357,392904,1311750357,392904,"{
}",11421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,178,37E32E83-F434-4343-A358-CECCAFE86246,178,1311750357,392904,1311750357,392904,"{
}",11422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,179,8101C505-BD5B-4366-8B17-FEABB3F9929C,179,1311750357,392904,1311750357,392904,"{
}",11423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,180,D49DAB8F-2750-4ABD-8F3C-7654F70CE723,180,1311750357,392904,1311750357,392904,"{
}",11424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,181,66DE0F23-3A51-48B2-8149-629C3D2974B6,181,1311750357,392904,1311750357,392904,"{
}",11425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,182,4E707AB2-82DD-45FC-B3A6-BE8D36012389,182,1311750357,392904,1311750357,392904,"{
}",11426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,183,0C1A7F4A-1826-417C-88D9-C53B738D8498,183,1311750357,392904,1311750357,392904,"{
}",11427,2,0,0,2,1,0,0,2,100,0,0,1,0.5,0,0,0,0,0,0,1,0.5,0,0,0,0,2,100,1,0.5,1,0.5,0,0,0,0,2,100,0,0,2,1,0,0,2,100
182,184,363956E1-6F07-4F73-8B24-747413F64527,184,1311750357,392904,1311750357,392904,"{
}",11428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,185,975CEDB3-B1EB-4795-94A8-90B1CD53CEEB,185,1311750357,392904,1311750357,392904,"{
}",11429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,186,D437B667-16E1-48C5-AA2B-7B9C4B59D773,186,1311750357,392904,1311750357,392904,"{
}",11430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,187,A39AD160-F0BC-4C17-B5DE-143DC8E0834D,187,1311750357,392904,1311750357,392904,"{
}",11431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,188,B86B100D-56F0-45E8-904E-3778344B279C,188,1311750357,392904,1311750357,392904,"{
}",11432,2,2,1,0,0,0,0,2,100,0,0,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,2,100,0,0,2,1,0,0,0,0,2,100,0,0,2,1,0,0,2,100
187,189,CB679C7A-A365-4DAA-A772-16D2FF81B52D,189,1311750357,392904,1311750357,392904,"{
}",11433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,190,0285795A-9015-435C-8E23-FD1D2C611990,190,1311750357,392904,1311750357,392904,"{
}",11434,4,1,0.25,3,0.75,0,0,4,100,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,4,100,1,0.25,3,0.75,0,0,0,0,4,100,0,0,4,1,0,0,4,100
189,191,1ADDC3D4-9EB9-48EB-8DCA-7D4E25AC4FAA,191,1311750357,392904,1311750357,392904,"{
}",11435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,192,FE60F28E-CE2C-4A48-8EDC-B3E26FB5C622,192,1311750357,392904,1311750357,392904,"{
}",11436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,193,69F1CAEF-ABAE-4A7A-958F-71450A132DEA,193,1311750357,392904,1311750357,392904,"{
}",11439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,194,314E5BFF-47B6-4629-B944-592A35D4719F,194,1311750357,392904,1311750357,392904,"{
}",11451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,195,557A1134-CB76-4016-BEB0-6147BBD110EF,195,1311750357,392904,1311750357,392904,"{
}",11471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,196,C82990BE-E44F-42CD-90A1-60D11499CDD1,196,1311750357,392904,1311750357,392904,"{
}",11510,28,6,0.21,22,0.79,0,0,28,100,0,0,6,0.21,0,0,1,0.04,18,0.64,2,0.07,1,0.04,0,0,28,100,1,0.04,27,0.96,0,0,0,0,28,100,1,0.04,27,0.96,0,0,28,100
195,197,9A7C2213-F5F9-4B18-9284-295F19228676,197,1311750357,392904,1311750357,392904,"{
}",11548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,198,3C15316A-1B3C-4CB3-A9CD-848F372FB4D1,198,1311750357,392904,1311750357,392904,"{
}",11566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,199,5C622DF7-7F7C-4E09-928E-9361118AC2D5,199,1311750357,392904,1311750357,392904,"{
}",11577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,200,3F2B7118-15BC-4DCD-97C9-328D27749C31,200,1311750357,392904,1311750357,392904,"{
}",11580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,201,82A7C41D-353A-44B6-AFCC-30562917F67D,201,1311750357,392904,1311750357,392904,"{
}",11598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,202,B9B36DAB-635F-4139-A489-D13D92626A91,202,1311750357,392904,1311750357,392904,"{
}",11629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,203,793C3704-C30F-42DB-8031-D805C6A62C8A,203,1311750357,392904,1311750357,392904,"{
}",11691,37,12,0.32,25,0.68,0,0,37,100,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,37,100,0,0,37,1,0,0,0,0,37,100,3,0.08,34,0.92,0,0,37,100
202,204,EC26EFEC-CB2E-4299-9A8C-370BC9F63803,204,1311750357,392904,1311750357,392904,"{
}",11692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,205,E4E830DC-0ADB-430D-BB18-D49403BC177D,205,1311750357,392904,1311750357,392904,"{
}",11693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,206,710E97DE-566E-41C8-93A3-1052C09736C5,206,1311750357,392904,1311750357,392904,"{
}",11694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,207,17567BD1-F5B8-4D28-81C0-C0068DC6DB29,207,1311750357,392904,1311750357,392904,"{
}",11695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,208,CE71FE6C-52BA-4DAC-9EFA-A722CDF09313,208,1311750357,392904,1311750357,392904,"{
}",11731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,209,4F35D58E-404D-4ADD-BB40-D7BF1ED34B68,209,1311750357,392904,1311750357,392904,"{
}",11798,5,3,0.6,2,0.4,0,0,5,100,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,5,100,0,0,5,1,0,0,0,0,5,100,0,0,5,1,0,0,5,100
